,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lockhart,1,US,1586662129,78,28.62,-81.44,73.99,10.29
1,Khatanga,100,RU,1586662129,97,71.97,102.5,17.96,11.74
2,Kavieng,95,PG,1586662129,69,-2.57,150.8,84.36,3.56
3,Imeni Karla Libknekhta,0,RU,1586662130,89,51.62,35.48,31.12,9.91
4,Bethel,1,US,1586662130,69,41.37,-73.41,46.4,4.7
5,Berlevåg,100,NO,1586662130,73,70.86,29.09,24.8,14.99
6,Chokurdakh,100,RU,1586661952,97,70.63,147.92,29.89,12.95
7,Arlit,23,NE,1586662131,14,18.74,7.39,80.37,8.68
8,Tura,1,IN,1586662131,24,25.52,90.22,88.61,3.8
9,Tiksi,94,RU,1586662131,90,71.69,128.87,6.48,19.98
10,Duayaw-Nkwanta,99,GH,1586662131,86,7.17,-2.1,73.44,2.71
11,Vaini,40,TO,1586662132,69,-21.2,-175.2,78.8,4.7
12,Hirara,75,JP,1586662132,72,24.8,125.28,66.2,16.11
13,Akonolinga,100,CM,1586662132,71,3.77,12.25,66.65,1.34
14,Geraldton,75,AU,1586662003,65,-28.77,114.6,82.99,10.29
15,Bluff,20,NZ,1586662132,52,-46.6,168.33,71.01,11.99
16,Yellowknife,20,CA,1586661900,51,62.46,-114.35,14.0,9.17
17,Cape Town,75,ZA,1586662018,100,-33.93,18.42,64.0,21.92
18,Petatlán,3,MX,1586662133,64,17.52,-101.27,78.71,3.04
19,Ushuaia,40,AR,1586662133,86,-54.8,-68.3,39.2,6.93
20,Balabac,4,PH,1586661843,59,7.99,117.06,87.84,7.11
21,Hilo,90,US,1586662073,61,19.73,-155.09,80.6,4.7
22,Upernavik,100,GL,1586662134,86,72.79,-56.15,20.37,2.3
23,Rikitea,91,PF,1586662135,77,-23.12,-134.97,78.55,7.2
24,Tobermory,0,CA,1586662135,90,45.25,-81.67,28.0,15.52
25,Juneau,20,US,1586662028,36,58.3,-134.42,46.4,4.05
26,Cap Malheureux,40,MU,1586662135,83,-19.98,57.61,80.01,14.99
27,Castro,32,BR,1586661952,73,-24.79,-50.01,55.18,5.53
28,Mataura,18,NZ,1586661990,52,-46.19,168.86,71.01,11.99
29,Saint Paul Harbor,90,US,1586662136,86,57.79,-152.41,37.4,20.8
30,Saint-Honoré,90,CA,1586662137,74,48.53,-71.08,33.01,12.75
31,Whitianga,87,NZ,1586662137,75,-36.83,175.7,70.0,11.01
32,Marzuq,0,YE,1586662138,52,14.4,46.47,69.64,4.43
33,Owo,67,NG,1586662138,78,7.2,5.59,71.35,1.86
34,Naze,75,JP,1586662138,82,28.37,129.48,66.2,17.22
35,Jacareacanga,91,BR,1586662138,91,-6.22,-57.75,73.35,1.59
36,Albany,1,US,1586662138,90,42.6,-73.97,37.99,8.05
37,Saint-Philippe,22,RE,1586661990,73,-21.36,55.77,75.0,6.93
38,Bensonville,61,LR,1586662139,87,6.45,-10.61,77.76,0.45
39,Puerto Ayora,53,EC,1586662139,87,-0.74,-90.35,79.0,1.99
40,New Norfolk,75,AU,1586662139,55,-42.78,147.06,61.0,12.75
41,Pevek,6,RU,1586662140,92,69.7,170.31,11.39,13.89
42,Oranjemund,50,NA,1586662140,92,-28.55,16.43,57.96,0.81
43,Malanje,71,AO,1586662140,70,-9.54,16.34,63.43,2.24
44,Port Alfred,37,ZA,1586662140,67,-33.59,26.89,69.01,3.0
45,Khovd,100,MN,1586661993,29,48.01,91.64,45.39,3.98
46,Bam,100,IR,1586662141,25,29.11,58.36,73.81,7.31
47,Vao,13,NC,1586661984,75,-22.67,167.48,76.98,12.73
48,Hermanus,100,ZA,1586662141,96,-34.42,19.23,63.0,8.99
49,Norman Wells,75,CA,1586662141,46,65.28,-126.83,28.4,4.7
50,Newport,7,GB,1586662142,87,51.59,-3.0,52.0,4.7
51,Liuzhou,22,CN,1586662142,50,24.31,109.39,62.29,16.31
52,Punta Arenas,75,CL,1586661986,87,-53.15,-70.92,42.8,5.82
53,Kapaa,90,US,1586661984,73,22.08,-159.32,78.8,10.29
54,Vila Velha,90,BR,1586662142,88,-20.33,-40.29,73.99,6.93
55,Tomatlán,72,MX,1586662143,62,19.93,-105.25,72.84,9.57
56,Bilma,97,NE,1586662143,17,18.69,12.92,75.38,6.24
57,Yong’an,0,CN,1586662143,21,39.7,113.69,52.56,11.39
58,Harper,13,LR,1586662022,84,4.38,-7.72,78.6,0.63
59,Busselton,75,AU,1586662144,39,-33.65,115.33,80.01,9.98
60,Tuktoyaktuk,20,CA,1586661976,77,69.45,-133.04,6.8,10.29
61,Yenagoa,70,NG,1586661972,93,4.92,6.26,76.3,4.54
62,Avarua,100,CK,1586662145,89,-21.21,-159.78,84.2,2.24
63,Dikson,100,RU,1586661989,96,73.51,80.55,14.99,9.95
64,Grindavik,51,IS,1586662145,80,63.84,-22.43,35.6,1.12
65,Butaritari,98,KI,1586662145,75,3.07,172.79,83.01,10.04
66,Saint Anthony,90,US,1586662146,39,45.02,-93.22,51.01,14.99
67,Mahébourg,40,MU,1586662146,83,-20.41,57.7,80.01,14.99
68,Brae,100,GB,1586662146,81,60.4,-1.35,46.4,27.51
69,Nikolskoye,6,RU,1586661881,92,59.7,30.79,23.0,2.24
70,Karratha,0,AU,1586661990,37,-20.74,116.85,89.96,17.56
71,Port Blair,100,IN,1586662147,72,11.67,92.75,83.19,7.54
72,Jamestown,1,US,1586661931,55,42.1,-79.24,39.0,5.82
73,Ovsyanka,0,RU,1586662147,52,55.96,92.55,41.0,8.95
74,Edd,78,ER,1586662148,72,13.93,41.69,79.18,7.92
75,Ha Giang,100,VN,1586662148,71,22.83,104.98,68.97,1.45
76,Qaanaaq,100,GL,1586662148,72,77.48,-69.36,12.18,5.19
77,Ponta do Sol,20,PT,1586661986,67,32.67,-17.1,62.6,9.17
78,Dalvik,90,IS,1586662149,74,65.97,-18.53,30.2,19.46
79,Andenes,100,NO,1586662149,68,69.31,16.12,30.2,11.41
80,Guerrero Negro,7,MX,1586662149,71,27.98,-114.06,61.11,19.04
81,Honningsvåg,100,NO,1586662150,73,70.98,25.97,24.8,14.99
82,Islaz,20,RO,1586662150,74,43.73,24.75,37.4,2.24
83,Kieta,99,PG,1586662150,74,-6.22,155.63,84.07,4.45
84,Tarko-Sale,100,RU,1586662151,99,64.92,77.78,28.83,5.3
85,Progreso,5,MX,1586662151,78,21.28,-89.67,82.0,3.36
86,Turtas,1,RU,1586662152,84,58.94,69.13,40.82,4.47
87,Hasaki,75,JP,1586662025,66,35.73,140.83,55.4,11.41
88,Meulaboh,56,ID,1586662152,72,4.14,96.13,84.94,1.88
89,Cortes,40,ES,1586662154,62,41.94,-1.44,55.4,12.75
90,Sharlyk,100,RU,1586662154,74,52.92,54.75,38.79,12.3
91,Haines Junction,0,CA,1586662154,72,60.75,-137.51,30.22,2.66
92,Barrow,90,US,1586662155,92,71.29,-156.79,26.6,18.34
93,Carnarvon,7,AU,1586661991,69,-24.87,113.63,82.4,20.8
94,Buraidah,0,SA,1586662155,48,26.33,43.98,62.6,12.75
95,Chui,0,UY,1586661987,79,-33.7,-53.46,60.82,6.06
96,Palmer,1,US,1586662156,41,42.16,-72.33,39.99,6.93
97,Clyde River,75,CA,1586662156,84,70.47,-68.59,1.4,14.99
98,Dzilam González,0,MX,1586662157,92,21.28,-88.93,80.01,15.86
99,Morales,100,CO,1586662157,60,2.76,-76.62,62.51,1.79
100,San Cristobal,65,VE,1586662157,61,7.77,-72.22,68.31,2.24
101,Port Elizabeth,60,ZA,1586661989,45,-33.92,25.57,68.0,14.99
102,Ust-Nera,100,RU,1586662158,86,64.57,143.2,26.82,7.05
103,Hobart,75,AU,1586661932,55,-42.88,147.33,61.0,12.75
